% Model:              sjo1e12-ph2c-si-200617-pdms-chip-vol-8ul-001.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 20 2022, 15:15
% Dimension:          2
% Nodes:              28902
% Expressions:        3
% Description:        Mesh element number, Velocity field, x component, Velocity field, y component
% Length unit:        mm
% x                       y                        meshelement @ q=4        u (m/s) @ q=4            v (m/s) @ q=4
287.1979146481734         628.0713424084801        85                       4.307991466565928E-8     -1.5648087390756003E-4
287.19208391880323        628.0189315070128        87                       -2.0816612505774773E-7   -3.1992685429205496E-4
287.1921388658831         627.9927260562793        87                       2.5011443820316135E-8    -3.183809053135732E-4
287.19792600056036        628.0451369577464        96                       2.633450590647974E-9     -1.564831225285331E-4
287.22672016096215        628.2161470960434        228                      NaN                      NaN
287.22715406596893        628.1897939036706        230                      NaN                      NaN
287.35731499443204        628.3858078173271        278                      NaN                      NaN
287.33738230651244        628.3549032003995        242                      NaN                      NaN
287.39744457481123        628.3858078173265        283                      NaN                      NaN
287.2519110107602         628.2555178949726        236                      NaN                      NaN
287.2500471836381         628.2302586399973        235                      NaN                      NaN
287.2839211620103         628.3249409503188        243                      NaN                      NaN
287.27532877010674        628.2951800250563        290                      NaN                      NaN
287.31787029610206        628.3311358722668        243                      NaN                      NaN
287.2785954486808         628.2689626083023        292                      NaN                      NaN
287.44144113499624        628.385807817326         294                      NaN                      NaN
287.4896773043108         628.3858078173253        297                      NaN                      NaN
287.54256162144316        628.3858078173246        299                      NaN                      NaN
287.6028703719617         628.3858078173238        300                      NaN                      NaN
287.1028703719617         627.5472333938072        89                       -2.98000555254126E-19    1.4543695866707643E-15
287.10782919199664        627.5996442952745        91                       2.2760277948680774E-8    -1.5701081120902648E-4
287.1078432646668         627.5734388445409        99                       -2.9792279830982595E-8   -1.57393613024588E-4
287.1135330655696         627.7044660982091        301                      2.860257600906309E-7     -3.1653941606275604E-4
287.1135334178814         627.6782606474754        304                      9.942570241330974E-8     -3.1600137346923075E-4
287.11362258452414        627.6520551967418        303                      -5.0111494221299676E-8   -3.175933663909449E-4
287.1137190687178         627.6258497460082        307                      -3.83454368657676E-7     -3.2113761775971576E-4
287.1449108638366         627.8158511244528        251                      -9.971153484696064E-7    -8.099189756506543E-4
287.1264166953709         627.7701900661224        249                      -1.1746967069541026E-6   -5.99485047810474E-4
287.1445108641177         627.7879105668472        250                      -3.479079328808412E-7    -8.054462281147434E-4
287.1268190865854         627.7423388287203        253                      1.1427373539373878E-6    -6.05961170524905E-4
287.12698779977376        627.7147933441594        302                      4.436328341267152E-7     -6.076418077778937E-4
287.16171924025934        627.8313353816617        309                      -6.359139748210502E-7    -8.045655038503523E-4
287.19207711182924        627.9665206055455        92                       -3.78191187600203E-7     -3.193011090681498E-4
287.19196461678973        627.9403151548119        94                       2.9212255371453904E-7    -3.2181244843301944E-4
287.1918773310312         627.9141097040782        95                       2.503513848019155E-7     -3.24866833033129E-4
287.18154462494584        627.8726453885812        321                      -4.4913377737378107E-7   -5.604849865650198E-4
287.1798848355136         627.8457996733895        323                      -3.8348933460413875E-7   -5.873523928885159E-4
287.19184070902736        627.8879042533446        95                       -2.454916117088446E-7    -3.270108684534818E-4
287.2028703719617         628.1237533099475        325                      NaN                      NaN
287.22723623120464        628.1633185603193        273                      NaN                      NaN
287.22659627352436        628.137205782365         326                      NaN                      NaN
287.2028703719617         628.0975478592137        325                      NaN                      NaN
287.2028703719617         628.0713424084801        331                      NaN                      NaN
287.19796743870785        628.0189315070128        97                       -2.3810104331381894E-8   -1.5496947714328753E-4
287.19799241465324        627.9927260562793        97                       9.445375165930527E-9     -1.5420300637320242E-4
287.2028703719617         628.0451369577464        335                      NaN                      NaN
287.2512097941283         628.2036242568142        275                      NaN                      NaN
287.2524081143443         628.1768227110775        277                      NaN                      NaN
287.37470717295423        628.3505708889315        341                      NaN                      NaN
287.34943778031544        628.3198783910584        342                      NaN                      NaN
287.41628391157184        628.3471395497113        341                      NaN                      NaN
287.2764596111499         628.2410073550826        347                      NaN                      NaN
287.2721453236909         628.216754791509         347                      NaN                      NaN
287.3131993915326         628.2897819044001        289                      NaN                      NaN
287.30175161663135        628.2518213793356        349                      NaN                      NaN
287.4628524558241         628.3423758472226        353                      NaN                      NaN
287.51124668474654        628.3359300980512        353                      NaN                      NaN
287.5595993806372         628.3397670276375        355                      NaN                      NaN
287.6028703719617         628.3108485844729        355                      NaN                      NaN
287.1028703719617         627.5210279430736        98                       1.939314788576505E-19    -8.961629076867435E-16
287.10784945679444        627.5472333938072        99                       3.233760275688219E-8     -1.578212695438281E-4
287.1028703719617         627.4948224923402        101                      1.895063968774392E-20    -7.50333980156514E-16
287.1028703719617         627.4686170416064        102                      -2.684159160713339E-20   3.096180642475244E-16
287.1028703719617         627.4424115908728        102                      -2.0553977424919883E-19  -5.71536925179509E-16
287.11377977603854        627.5996442952745        359                      3.396337299305883E-7     -3.2423727965093767E-4
287.1138107359129         627.5734388445409        362                      -4.965564076335603E-7    -3.2487040421709165E-4
287.12573140840726        627.6880140959702        304                      5.438957950733373E-7     -5.862305169957727E-4
287.12581899248033        627.6635957171322        304                      1.1109243202170718E-6    -5.869166840873089E-4
287.1263269225225         627.6401601387138        306                      -1.1957292854737075E-6   -5.959348854804415E-4
287.1258291733989         627.6149683181835        360                      -1.4544277889104795E-6   -5.872859893567745E-4
